from_lat,from_lon,to_lat,to_lon,km,source
14.71352,100.82881,13.83162,100.9114,111.6,google
14.73648,102.11758,15.61027,103.824,258.8,google
14.73648,102.11758,15.68264,100.46821,261.3,google
14.73648,102.11758,15.54663,102.97559,156.9,google
14.73648,102.11758,16.32573,99.63809,388.2,google
14.73648,102.11758,13.98572,100.96352,217.3,google
14.73648,102.11758,13.83999,100.96635,225.6,google
14.73648,102.11758,15.53403,100.48399,245.3,google
14.73648,102.11758,16.0598,100.0351,341.0,google
14.73648,102.11758,15.10604,100.21214,252.9,google
14.73648,102.11758,13.83162,100.9114,234.3,google
15.86157,102.01584,15.61027,103.824,223.7,google
15.86157,102.01584,15.68264,100.46821,219.8,google
15.86157,102.01584,15.54663,102.97559,121.8,google
15.86157,102.01584,16.32573,99.63809,338.2,google
15.86157,102.01584,13.98572,100.96352,299.8,google
15.86157,102.01584,13.83999,100.96635,317.4,google
15.86157,102.01584,15.53403,100.48399,236.2,google
15.86157,102.01584,16.0598,100.0351,276.1,google
15.86157,102.01584,15.10604,100.21214,277.7,google
15.86157,102.01584,13.83162,100.9114,316.9,google
17.01995,100.32026,15.61027,103.824,501.1,google
17.01995,100.32026,15.68264,100.46821,179.6,google
17.01995,100.32026,15.54663,102.97559,429.8,google
17.01995,100.32026,16.32573,99.63809,165.2,google
17.01995,100.32026,13.98572,100.96352,417.5,google
17.01995,100.32026,13.83999,100.96635,435.5,google
17.01995,100.32026,15.53403,100.48399,195.9,google
17.01995,100.32026,16.0598,100.0351,133.5,google
17.01995,100.32026,15.10604,100.21214,264.9,google
17.01995,100.32026,13.83162,100.9114,433.4,google
14.9075,100.08686,15.61027,103.824,500.2,google
14.9075,100.08686,15.68264,100.46821,121.2,google
14.9075,100.08686,15.54663,102.97559,398.3,google
14.9075,100.08686,16.32573,99.63809,189.3,google
14.9075,100.08686,13.98572,100.96352,183.8,google
14.9075,100.08686,13.83999,100.96635,193.9,google
14.9075,100.08686,15.53403,100.48399,105.3,google
14.9075,100.08686,16.0598,100.0351,155.6,google
14.9075,100.08686,15.10604,100.21214,29.6,google
14.9075,100.08686,13.83162,100.9114,191.8,google
14.57319,100.08287,15.61027,103.824,483.6,google
14.57319,100.08287,15.68264,100.46821,163.8,google
14.57319,100.08287,15.54663,102.97559,381.7,google
14.57319,100.08287,16.32573,99.63809,231.8,google
14.57319,100.08287,13.98572,100.96352,167.3,google
14.57319,100.08287,13.83999,100.96635,158.1,google
14.57319,100.08287,15.53403,100.48399,147.8,google
14.57319,100.08287,16.0598,100.0351,198.1,google
14.57319,100.08287,15.10604,100.21214,72.1,google
14.57319,100.08287,13.83162,100.9114,156.0,google
13.67603,100.60363,12.64045,102.0921,232.1,google
13.67603,100.60363,13.85167,101.0799,72.6,google
13.67603,100.60363,14.8798,100.3025,170.5,google
13.67603,100.60363,16.02498,103.84685,530.4,google
13.67603,100.60363,14.80226,101.89712,246.7,google
13.67603,100.60363,15.46899,100.15983,229.4,google
13.67603,100.60363,15.0652,104.05148,511.4,google
13.67603,100.60363,13.96135,101.88192,172.6,google
13.67603,100.60363,13.91039,101.65502,144.6,google
16.28676,102.78511,12.64045,102.0921,506.5,google
16.28676,102.78511,13.85167,101.0799,410.4,google
16.28676,102.78511,14.8798,100.3025,378.8,google
16.28676,102.78511,16.02498,103.84685,129.9,google
16.28676,102.78511,14.80226,101.89712,212.0,google
